timestamp_local,raw_acc_x,raw_acc_y,raw_acc_z,g_acc_x,g_acc_y,g_acc_z,raw_gx,raw_gy,raw_gz,filt_gx,filt_gy,filt_gz,temp,roll,pitch,yaw,q0,q1,q2,q3,vx,vy,vz,vx_filt,vy_filt,vz_filt,px,py,pz,stationary
2025-05-30 17:27:32.339,0.158,-0.007,9.847,0.572,0.112,19.558,-0.0277,0.0788,0.0383,-0.0177,0.0741,0.0389,33,0.37,-1.73,0.38,0.9982,0.0033,-0.0151,0.0034,13.367,1.818,471.609,12.907,1.758,455.151,223.532,30.849,7894.685,0
2025-05-30 17:27:32.393,0.167,-0.031,9.853,0.52,-0.009,19.566,-0.0064,0.0639,-0.0021,-0.0076,0.0665,0.0018,33,-0.2,-1.38,0.41,0.9982,-0.0017,-0.012,0.0035,13.38,1.819,472.114,12.922,1.76,455.674,224.178,30.937,7917.469,0
2025-05-30 17:27:32.446,0.153,-0.016,9.858,0.565,0.101,19.569,0.017,-0.049,-0.0234,0.0145,-0.0359,-0.0211,33,0.36,-1.72,0.33,0.9982,0.0032,-0.0151,0.0029,13.394,1.82,472.62,12.936,1.761,456.196,224.825,31.025,7940.278,0
2025-05-30 17:27:32.499,0.138,-0.02,9.855,0.482,0.067,19.568,0.0554,-0.0256,0.0575,0.0512,-0.025,0.0495,33,0.19,-1.32,0.48,0.9982,0.0017,-0.0116,0.0042,13.407,1.822,473.125,12.951,1.763,456.718,225.473,31.113,7963.114,0
2025-05-30 17:27:32.554,0.176,-0.009,9.871,0.602,0.112,19.581,0.0234,0.032,0.0,0.0261,0.0278,0.0048,33,0.38,-1.8,0.49,0.9982,0.0034,-0.0157,0.0043,13.421,1.825,473.629,12.965,1.765,457.24,226.121,31.201,7985.976,0
2025-05-30 17:27:32.608,0.142,-0.009,9.855,0.456,0.09,19.568,0.032,0.0426,0.1023,0.0313,0.0427,0.0923,33,0.26,-1.15,0.76,0.9982,0.0023,-0.01,0.0067,13.434,1.828,474.133,12.98,1.767,457.761,226.77,31.289,8008.864,0
2025-05-30 17:27:32.668,0.16,-0.027,9.851,0.579,0.096,19.562,0.0916,-0.0277,-0.0277,0.0855,-0.0191,-0.0159,33,0.39,-1.76,0.72,0.9982,0.0035,-0.0154,0.0063,13.446,1.831,474.636,12.994,1.769,458.281,227.42,31.378,8031.778,0
2025-05-30 17:27:32.721,0.169,-0.011,9.864,0.55,0.022,19.576,-0.0298,-0.0383,0.032,-0.0184,-0.0349,0.027,33,-0.13,-1.54,0.81,0.9982,-0.0011,-0.0135,0.007,13.461,1.832,475.139,13.009,1.771,458.801,228.07,31.466,8054.718,0
2025-05-30 17:27:32.775,0.163,-0.025,9.865,0.561,0.147,19.576,0.1065,0.0341,-0.017,0.0939,0.0288,-0.0128,33,0.68,-1.64,0.76,0.9982,0.006,-0.0143,0.0067,13.475,1.834,475.642,13.023,1.773,459.321,228.721,31.555,8077.684,0
2025-05-30 17:27:32.828,0.145,-0.022,9.86,0.521,0.024,19.572,-0.0831,0.0,-0.098,-0.0655,0.0044,-0.0897,33,-0.06,-1.51,0.51,0.9982,-0.0005,-0.0132,0.0045,13.489,1.837,476.144,13.037,1.775,459.84,229.373,31.644,8100.676,0
